row, tx_hash, token_address, from_address, to_address, from_is_contract, to_is_contract, token_id, blk_number, blk_timestamp, eth_value, weth_value
1, 0x3e79b67ce991a972a9ce038a499d7f16a2f8bb4293440c7581cf0fa77907c09b, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x6954d0255cfed71d55ad8b371b4170b8bf7709dc, false, false, 5739, 12287564, 1619061433.0, 0.0, 0
2, 0x3e79b67ce991a972a9ce038a499d7f16a2f8bb4293440c7581cf0fa77907c09b, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x6954d0255cfed71d55ad8b371b4170b8bf7709dc, false, false, 21247, 12287564, 1619061433.0, 0.0, 0
3, 0x3e79b67ce991a972a9ce038a499d7f16a2f8bb4293440c7581cf0fa77907c09b, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x6954d0255cfed71d55ad8b371b4170b8bf7709dc, false, false, 1326, 12287564, 1619061433.0, 0.0, 0
4, 0xa48230235578134012a3247f3b6ec0647d1b348b83ee07482f5fb53946962baa, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x47dabf35b9ce88cf1b4e18918d7ec3892b58127f, false, false, 444, 12287586, 1619061769.0, 0.0, 0
5, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 2786, 12287588, 1619061779.0, 0.0, 0
6, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 934, 12287588, 1619061779.0, 0.0, 0
7, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 2688, 12287588, 1619061779.0, 0.0, 0
8, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 896, 12287588, 1619061779.0, 0.0, 0
9, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 591, 12287588, 1619061779.0, 0.0, 0
10, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 594, 12287588, 1619061779.0, 0.0, 0
11, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 592, 12287588, 1619061779.0, 0.0, 0
12, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 595, 12287588, 1619061779.0, 0.0, 0
13, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 897, 12287588, 1619061779.0, 0.0, 0
14, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 2935, 12287588, 1619061779.0, 0.0, 0
15, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 2689, 12287588, 1619061779.0, 0.0, 0
16, 0xb55ea259c7adcf5edea98e19d4deb3ed050443fa520807b3394f2d621009deaf, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x4a1aca50cbd5b5ff4f5851ddb773b7c17aebbc52, false, false, 2687, 12287588, 1619061779.0, 0.0, 0
